UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO
MT,BRASNORTE,PSF RURAL BRASNORTE,RUA IGUATEMI,S/N,NOSSO LAR
MT,BRASNORTE,PSF CENTRO BRASNORTE,RUA GUAIRA ESQUINA COM A RUA PANTANAL,S/N,CENTRO
MT,BRASNORTE,POSTO DE SAUDE SAO BENTO BRASNORTE,ASSENTAMENTO SAO BENTO,S/N,ZONA RURAL
MT,BRASNORTE,PSF NOSSO LAR BRASNORTE,RUA IGUATEMI,1055,NOSSO LAR
MT,BRASNORTE,POSTO DE SAUDE AGUA DA PRATA BRASNORTE,COMUNIDADE AGUA PRATA,S/N,ZONA RURAL
MT,BRASNORTE,PSF ARCO IRIS BRASNORTE,RUA MINAS GERAIS,S/N,ARCO IRIS
MT,BRASNORTE,USF CEREJAL BRASNORTE,COMUNIDADE DAS PAINEIRAS KM 366,S/N,ZONA RURAL
MT,CACERES,UNIDADE BASICA DE SAUDE VILA IRENE,RUA SANTA LAURA,S/N,VILA IRENE
MT,CACERES,UNID DE SAUDE DA FAMILIA VISTA ALEGRE,RUA DAS MARGARIDAS,557,VISTA ALEGRE
MT,CACERES,POSTO DE SAUDE SADIA,ESTRADA RURAL,S/N,ASSENTAMENTO SADIA
MT,CACERES,UNIDADE DE SAUDE DA FAMILIA JD PARAISO,RUA 31 DE MARCO,S/N,JDR PARAISO
MT,CACERES,POSTO DE SAUDE DE VILA APARECIDA,RUA PRINCIPAL,S/N,ZONA RURAL
MT,CACERES,UNIDADE DE SAUDE DA FAMILIA DO RODEIO,RUA MADRI,S/N,RODEIO
MT,CACERES,POSTO DE SAUDE DO LIMAO,RUA PRINCIPAL,S/N,DISTRITO LIMAO
MT,CACERES,AMBULATORIO DA MULHER,RUA PORTO CAREIRO,S/N,CENTRO
MT,CACERES,UNID DE SAUDE DA FAMILIA MARAJOARA,RUA B,S/N,SANTA ISABEL
MT,CACERES,UNIDADE SAUDE FAMILIA DO CARAMUJO,AVENIDA PRINCIPAL,S/N,DISTRITO DE CARAMUJO
MT,CACERES,UNIDADE DE SAUDE DA FAMILIA VILA REAL,RUA BELGICA,11,VILA REAL
MT,CACERES,UNIDADE DE SAUDE DA FAMILIA DO CAIC,RUA HERMES DA FONSECA,S/N,JAD CIDADE NOVA
MT,CACERES,UNIDADE SAUDE FAMILIA JARDIM GUANABARA,RUA CEREJEIRA,0,JARDIM GUANABARA
MT,CACERES,UNID SAUDE DA FAMILIA VITORIA REGIA,RUA AMAZONAS,S/N,JARDIM POPULAR
MT,CACERES,UNIDADE BASICA DE SAUDE SANTA ISABEL,AVENIDA GETULIO VARGAS,S/N,CENTRO
MT,CACERES,POSTO DE SAUDE HORIZONTE DOESTE,RUA 12 DE JANEIRO,S/N,ZONA RURAL
MT,CACERES,UNIDADE DE SAUDE DA FAMILIA COHAB NOVA,RUA DAS BEXIGAS QD 21,5,COHAB NOVA
MT,CACERES,POSTO DE SAUDE SANTOS DUMONT,AVENIDA DOS AVIADORES,S/N,DNER
MT,CACERES,POSTO DE SAUDE LARANJEIRAS,ZONA RURAL,S/N,COMUNIDADE DAS LARAN
MT,CACERES,CENTRO DE SAUDE REFERENCIAL,AV CASTELO BRANCO,S/N,SAO MIGUEL
MT,CAMPINAPOLIS,POSTO DE SAUDE SAO JOSE DO COUTO,RUA PRINCIPAL,S/N,DISTRITO
MT,CAMPINAPOLIS,CENTRO DE SAUDE MUNICIPAL DE CAPINAPOLIS,AV NEGO CARRIM,1420,CENTRO
MT,CAMPINAPOLIS,CENTRO DE SAUDE MUNICIPAL DE CAMPINAPOLIS UNIDADE II,AV NEGO CARRIM ESQUINA COM A RUA GOIAS,S/N,JOSE VIOLA
MT,CAMPO NOVO DO PARECIS,USF JARDIM DAS PALMEIRAS CAMPO NOVO,AV MINAS GERAIS,1439,JARDIM DAS PALMEIRAS
MT,CAMPO NOVO DO PARECIS,USF AMAPA CAMPO NOVO,AV AMAPA,S/N,JARDIM DAS PALMEIRAS
MT,CAMPO NOVO DO PARECIS,UBS OLENKA,RUA DAS GARCAS,S/N,OLENKA
MT,CAMPO NOVO DO PARECIS,CENTRO DE SAUDE DE CAMPO NOVO DO PARECIS CAMPO NOVO,AV MATO GROSSO,206,CENTRO
MT,CAMPO NOVO DO PARECIS,USF MATO GROSSO,AVENIDA MATO GROSSO,610,CENTRO
MT,CAMPO NOVO DO PARECIS,USF NOSSA SENHORA APARECIDA CAMPO NOVO,AVENIDA LIONS INTERNACIONAL ESQ R SEVERINO DE LIM,1072,NSA SRA APARECIDA
MT,CAMPO NOVO DO PARECIS,USF ITANORTE,AVENIDA ARGEU DE MORAIS,S/N,FAZENDA ITAMARATI NO
MT,CAMPO NOVO DO PARECIS,USF BOA ESPERANCA CAMPO NOVO,RUA SAO THOMAS,164,BOA ESPERANCA
MT,CAMPO NOVO DO PARECIS,USF MARECHAL RONDON,AVENIDA B,S/N,DISTRITO MARECHAL RO
MT,CAMPO NOVO DO PARECIS,USF BEIJA FLOR CAMPO NOVO,AVENIDA MARANHAO ESQ COM AVENIDA CEARA,S/N,JARDIM DAS PALMEIRAS
MT,CAMPOS DE JULIO,USF 1 GOVERNADOR DANTE DE OLIVEIRA,RUA VOLMIR TABORDA CAMARA,327,CENTRO
MT,CAMPOS DE JULIO,USF 2 SENADOR JONAS PINHEIRO,RUA NICO BARACAT,546,VILA NOVA
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA JUPIARA,RUA DO SABER,80,JUPIARA
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA SAO LOURENCO,RUA AMAZONAS,S/N,BOM CLIMA
MT,CAMPO VERDE,UNIDADE BASICA DE SAUDE RURAL 12,AV MANOEL GENILDO ARAUJO,S/N,CAMPO REAL
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA SANTO ANTONIO,ASSENTAMENTO SANTO ANTONIO DA FARTURA,S/N,ZONA RURAL
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA LIMEIRA,RODOVIA MT 140 KM 40 COMUNIDADE LIMEIRA,S/N,ZONA RURAL
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA OLIMPIA MACARINI,AVENIDA TICO DE CAMPOS,484,JARDIM CAMPO VERDE
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA RECANTO DO BOSQUE,AV DOM AQUINO CORREA ESQ RUA DO SABER Q01,755,RECANTO DO BOSQUE II
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA JARDIM DAS AMERICAS,RUA JOAO ADELCIO ECKERT,1250,JARDIM DAS AMERICAS
MT,CAMPO VERDE,UNIDADE BASICA DE SAUDE DOM OSORIO,ASSENTAMENTO DOM OSORIO,S/N,ZONA RURAL
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA CENTRAL,AV ARNALDO ECKERT,1250,ESTACAO DA LUZ
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA SAO MIGUEL II,RUA JOAO DE BARRO,618,SAO MIGUEL
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA PARQUE DAS ARARAS,AV SAO JOAO BATISTA,245,JARDIM CAMPO VERDE
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA SAO MIGUEL I,RUA JOAO DE BARRO,614,SAO MIGUEL
MT,CAMPO VERDE,UNIDADE BASICA DE SAUDE BENEDITO CAMPOS,AVENIDA RIO DA CASCA AGROVILA,S/N,ZONA RURAL
MT,CAMPO VERDE,UNIDADE DE SAUDE DA FAMILIA ZACARIAS FURTADO DE LIMA,RUA TUPI,149,VALE DO SOL
MT,CANABRAVA DO NORTE,UNIDADE DE SAUDE DA FAMILIA I DE CANABRAVA DO NORTE,AV AUREA TAVARES DE AMORIM,S/N,CENTRO
MT,CANABRAVA DO NORTE,UNIDADE SAUDE DA FAMILIA II RURAL,RUA TAPIRAPE,S/N,CENTRO
MT,CANARANA,POSTO DE SAUDE GARAPU,GARAPU II,S/N,ZONA RURAL
MT,CANARANA,PSF JARDIM TROPICAL,RUA CAMPO NOVO,S/N,JARDIM TROPICAL
MT,CANARANA,POSTO SAUDE MATINHA,MATINHA,S/N,ZONA RURAL
MT,CANARANA,POSTO DE SAUDE SERRA DOURADA,SERRA DOURADA,S/N,ZONA RURAL
MT,CANARANA,PSF PIONEIROS,RUA PALMEIRA DAS MISSOES,414,NOVA CANARANA
MT,CANARANA,ESF CENTRAL,RUA SANTA ROSA,S/N,NOVA CANARANA
MT,CANARANA,PSF JARDIM BELA VISTA,RUA ERVAL SECO,637,CENTRO
MT,CANARANA,PSF UNIAO,RUA DIAMANTINO,S/N,JD UNIAO
MT,CANARANA,PSF MUTIRAO,RUA LAGOA VERMELHA,S/N,SOL NASCENTE
MT,CANARANA,POSTO DE SAUDE DE CULUENE,CULUENE,S/N,ZONA RURAL
MT,CARLINDA,POSTO DE SAUDE CANA PSF,LINHA 15 SETOR CANA,S/N,ZONA RURAL
MT,CARLINDA,POSTO DE SAUDE BELEM,LINHA 13 COMUN BELEM,S/N,ZONA RURAL
MT,CARLINDA,CENTRO DE SAUDE SAO LUCAS,AV TANCREDO DE ALMEIDA NEVES,S/N,CENTRO
MT,CARLINDA,UNIDADE DE SAUDE DA FAMILIA SAO CAMILO,RUA DAS PAINEIRAS,S/N,CENTRO
MT,CARLINDA,UNIDADE DE SAUDE DA FAMILIA SAO PAULO APOSTOLO,AV ARAPONGAS,S/N,CENTRO
MT,CARLINDA,POSTO DE SAUDE PADRE GERALDO,COMUN DAMASCO SETOR PE GERALDO,S/N,ZONA RURAL
MT,CARLINDA,POSTO DE SAUDE DEL REY,SETOR DEL REY COMUN ESTRELA DO MAR,S/N,ZONA RURAL
MT,CASTANHEIRA,UNIDADE DE SAUDE DA FAMILIA VALE DO SERINGAL,RUA DAS GARCAS,10,BOSQUE DA SAUDE
MT,CASTANHEIRA,POSTO DE SAUDE NOVA CONQUISTA,P A VALE DO SERINGAL III ASSENTAMENTO,S/N,ZONA RURAL
MT,CASTANHEIRA,UNIDADE DE SAUDE DA FAMILIA URBANA CASTANHEIRA,RUA PROJETADA,S/N,GUADALUPE
MT,CASTANHEIRA,UNIDADE DE SAUDE DA FAMILIA RURAL CASTANHEIRA,RUA DAS GARCAS,15,BOSQUE DA SAUDE
MT,CHAPADA DOS GUIMARAES,POSTO DE SAUDE ALDEIA VELHA,TRAV POSTO DE SAUDE,S/N,ALDEIA VELHA
MT,CHAPADA DOS GUIMARAES,UNIDADE DE SAUDE DA FAMILIA JOAO CARRO,COMUNIDADE,S/N,JOAO CARRO
MT,CHAPADA DOS GUIMARAES,UNIDADE DE SAUDE DA FAMILIA AGUA FRIA,AV PRINCIPAL,S/N,AGUA FRIA
MT,CHAPADA DOS GUIMARAES,UNIDADE DA SAUDE DA FAMILIA CENTRO,RUA HOMERO MOUSSER,S/N,CENTRO
MT,CHAPADA DOS GUIMARAES,UNIDADE DE SAUDE PRAIA RICA,AVENIDA PRINCIPAL,S/N,PRAIA RICA
MT,CHAPADA DOS GUIMARAES,CENTRO DE SAUDE SANTA CRUZ,RUA MILITAO GOMES,229,SANTA CRUZ
MT,CHAPADA DOS GUIMARAES,UNIDADE DA SAUDE DA FAMILIA OLHO D AGUA,RUA DO JASMIM,S/N,VALE DA CHAPADA
MT,CHAPADA DOS GUIMARAES,UNIDADE DA SAUDE DA FAMILIA OLHO DAGUA II,RUA DO JASMIM,S/N,VALE DA CHAPADA
MT,CHAPADA DOS GUIMARAES,CENTRO DE SAUDE MATA GRANDE,MATA GRANDE,S/N,ZONA RURAL
MT,CHAPADA DOS GUIMARAES,POSTO DE SAUDE RIO DA CASCA,AVENIDA PRINCIPAL,S/N,CASCA
MT,CHAPADA DOS GUIMARAES,CADEIA PUBLICA DE CHAPADA DOS GUIMARAES,RUA GENEROSO ANTONIO,1446,BOM CLIMA
MT,CHAPADA DOS GUIMARAES,UNIDADE DE SAUDE JANGADA RONCADOR,COMUNIDADE JANGADA,S/N,JANGADA
MT,CLAUDIA,UNIDADE DE SAUDE DA FAMILIA MARGARIDA RODRIGUES ANTUNES,LUIZ DA COSTA RIBEIRO,S/N,CENTRO
MT,CLAUDIA,UNIDADE DE SAUDE DA FAMILIA WALDEMAR DE OLIVEIRA,RUA JOSE DE MESQUITA,1596,CENTRO
MT,CLAUDIA,UNIDADE DE SAUDE DA FAMILIA VICENTE ANDERLE,AV GASPAR DUTRA,S/N,CENTRO
MT,CLAUDIA,UNIDADE DE SAUDE JOSE CELONI,RUA SANTA CATARINA,0,HABITAR BRASIL
MT,COCALINHO,UNIDADE BASICA DE SAUDE ARAGUAIA,R ARCEU B VILARINS,599,CIDADE NOVA
MT,COCALINHO,UNIDADE BASICA DE SAUDE PADRE CUNHA,R C 4,335,CIDADE NOVA
MT,COCALINHO,UNIDADE BASICA DE SAUDE ZE SOZINHO,CALCARIO RONCADOR,S/N,ZONA RURAL
MT,COLIDER,PSF CENTRAL,AV DAURI RIVA,S/N,CENTRO
MT,COLIDER,PSF NOVA GALILEIA,COMUNIDADE NOVA GALILEIA,1,ZONA RURAL
MT,COLIDER,POSTO DE SAUDE MARCO DE CIMENTO,COMUNIDADE MARCO DO CIMENTO,S/N,ZONA RURAL
MT,COLIDER,POSTO DE SAUDE SOL NASCENTE,COMUNIDADE SOL NASCENTE,S/N,ZONA RURAL
MT,COLIDER,PSF BOM JESUS,RUA MAURO DOS REIS,1276,BOM JESUS
MT,COLIDER,CENTRO MUNICIPAL DE SAUDE COLIDER,AVENIDA DAURY RIVA,215,CENTRO
MT,COLIDER,PSF SANTA CLARA,SANTA CLARA,419,JARDIM SANTA CLARA
MT,COLIDER,POSTO DE SAUDE CAFE NORTE,COMUNIDADE CAFE NORTE,S/N,ZONA RURAL
MT,COLIDER,POSTO DE SAUDE TREVO OURO VERDE,COMUNIDADE TREVO OURO VERDE,S/N,ZONA RURAL
MT,COLIDER,POSTO DE SAUDE SAO LAZARO,COMUNIDADE SAO LAZARO,S/N,ZONA RURAL
MT,COLIDER,POSTO DE SAUDE NOVO MEXICO,COMUNIDADE NOVA MEXICO,S/N,ZONA RURAL
MT,COLIDER,PSF DA TORRE,TIRADENTES,S/N,TORRE
MT,COLIDER,PSF PERIM,RUA LUIZ ALDORI NEVES FERNANDES,2,CENTRO
MT,COLIDER,PSF SAGRADA FAMILIA,AVENIDA BANDEIRANTE FRANCISCO BERNARD DA COSTA,1,SAGRADA FAMILIA
MT,COLIDER,PSF CELIDIO MARQUES,RUA DAS MARGARIDAS,575,CELIDIO MARQUES
MT,COLNIZA,UNIDADE DE SAUDE DA FAMILIA PSF BELA VISTA COLNIZA,RUA SAO DOMINGOS,S/N,BELA VISTA
MT,COLNIZA,UNIDADE DE SAUDE DA FAMILIA PSF NOVA VIDA COLNIZA,AV 2000,S/N,JARDIM BOM JESUS
MT,COLNIZA,POSTO DE SAUDE TRES FRONTEIRAS,BR MT 170,1,RURAL
MT,COLNIZA,CENTRO DE SAUDE DE COLNIZA COLNIZA,AV DO CONTORNO,S/N,CENTRO
MT,COLNIZA,PSF RAIO DE LUZ COLNIZA,AVENIDA PRIMAVERA,S/N,CENTRO
MT,COLNIZA,UNIDADE DE SAUDE DA FAMILIA DO GUARIBA,DISTRITO GUARIBA,S/N,URBANO
MT,COMODORO,POSTO DE SAUDE GLEBA LIMAO NOROAGRO,GLEBA LIMAO NOROAGRO,S/N,ZONA RURAL
MT,COMODORO,POSTO DE SAUDE INDIGENA ALDEIA IQUE,ALDEIA IQUE,S/N,ZONA RURAL
MT,COMODORO,UNIDADE DE SAUDE FAMILIAR PSF NOVA ALVORADA,RUA PRINCIPAL,S/N,DISTRITO DE NOVA ALV
MT,COMODORO,POSTO DE SAUDE INDIGENA ALDEIA MAMAINDE CENTRAL,ALDEIA MAMAINDE CENTAL,S/N,ZONA RURAL
MT,COMODORO,UNIDADE DE SAUDE FAMILIAR PSF SAO FRANCISCO,RUA GOIAS,S/N,SAO FRANCISCO
MT,COMODORO,POSTO DE SAUDE INDIGENA ALDEIA AROEIRA CENTRAL,ALDEIA AROEIRA,S/N,ZONA RURAL
MT,COMODORO,POSTO DE SAUDE DA GLEBA MACUCO,GLEBA MACUCO,S/N,ZONA RURAL
MT,COMODORO,POSTO DE SAUDE INDIGENA ALDEIA MAMAINDE CABIXI,ALDEIA MAMAINDE CABIXI,S/N,ZONA RURAL
MT,COMODORO,UNIDADE DE SAUDE FAMILIAR PSF CENTRO,RUA DOS IPES,4112,CENTRO
MT,COMODORO,UNIDADE DE SAUDE FAMILIAR PSF CIDADE VERDE,RUA ANGELA PRESTES ZANON,123,CIDADE VERDE
MT,COMODORO,ESTRATEGIA DE SAUDE DA FAMILIA CRISTO REI,AVENIDA PARANA,512,CRISTO REI
MT,COMODORO,UNIDADE DE SAUDE FAMILIAR PSF NOVA VACARIA,RUA JOSE RODRIGUES,S/N,NOVA VACARIA
MT,CONFRESA,UNIDADE DE SAUDE FAMILIA NOVO PLANALTO,AV PRINCIPAL,S/N,CENTRO
MT,CONFRESA,E S FAMILIA VILA DOIS MIL,AVENIDA CENTRO OESTE,155,CENTRO
MT,CONFRESA,UBS TAPIRAGUAIA,RUA TAPIRAPE,S/N,VILA NOVA
MT,CONFRESA,E SAUDE FAMILIA GLEBA FONTOURA,RUA IPORA,S/N,CENTRO
MT,CONFRESA,UNIDADE DE SAUDE FAMILIA VILA VERANOPOLIS,R VALDOMIRO NUNES,S/N,CENTRO
MT,CONFRESA,UNIDADE DE SAUDE DA FAMILIA DE VILA NOVA,RUA TAPIRAPE,S/N,VILA NOVA
MT,CONFRESA,UNIDADE DE SAUDE DA FAMILIA JARDIM PLANALTO,RUA PORTO SEGURO,S/N,JARDIM PLANALTO
MT,CONFRESA,UBS NOVA SANTA LUZIA,RUA SAO GONCALO ESQUINA COM A RUA 03,S/N,SANTA LUZIA
MT,CONQUISTA D'OESTE,UNIDADE DE SAUDE DA FAMILIA PSF1,RUA DOS CAJUEIROS,1620,CENTRO
MT,CONQUISTA D'OESTE,UNIDADE DE SAUDE DA FAMILIA PSF2,RUA DOS CAJUEIROS,1620,CENTRO
MT,COTRIGUACU,UNIDADE DE SAUDE DA FAMILIA COTRIGUACU,RUA FLORIANO OCHOA,S/N,CENTRO
MT,COTRIGUACU,UNIDADE DE SAUDE DA FAMILIA AGROVILA,AGROVILA,S/N,DISTRITO OURO VERDE
MT,COTRIGUACU,UNIDADE DE SAUDE DA FAMILIA COTRIGUACU II,AVENIDA BRASIL,S/N,PLANALTO II
MT,COTRIGUACU,UNIDADE DE SAUDE DE NOVA ESPERANCA,ZONA RURAL,S/N,GLEBA
MT,COTRIGUACU,UNIDADE DE SAUDE DA FAMILIA NOVA UNIAO,PORTO SEGURO,S/N,NOVA UNIAO
MT,CUIABA,USF CAMPO VELHO,RUA PRESIDENTE MEDICI,515,CAMPO VELHO
MT,CUIABA,USF DR FABIO II,RUA RONDONOPOLIS,14,DR FABIO
MT,CUIABA,UNIDADE RURAL COIVARAS,ESTRADA DO MANSO KM 80,80,ZONA RURAL
MT,CUIABA,CENTRO DE SAUDE GRANDE TERCEIRO,RUA TELES PIRES,S/N,GRANDE TERCEIRO
MT,CUIABA,USF JARDIM VITORIA II,AV B,S/N,JARDIM VITORIA
MT,CUIABA,CENTRO DE SAUDE JARDIM LEBLON,RUA PROJETADA,S/N,JARDIM LEBLON
MT,CUIABA,USF DA GUIA,RUA VICENTE FIGUEIREDO,S/N,NOSSA SRA GUIA
MT,CUIABA,USF JARDIM INDUSTRIARIO,RUA 20 QDR 17,S/N,JARDIM INDUSTRIARIO
MT,CUIABA,CENTRO DE SAUDE CPA IV,AVENIDA CURIO,S/N,CPA IV
MT,CUIABA,USF JARDIM UNIAO,RUA 19 QDR 52 LOTE 11,11,JARDIM FLORIANOPOLIS
MT,CUIABA,USF JARDIM VITORIA III,AV B,S/N,JD VITORIA
MT,CUIABA,USF PRAEIRO,AV GENERAL MELLO,S/N,PRAEIRO
MT,CUIABA,CENTRO DE SAUDE DO CPA III,RUA 39 QD 2,S/N,CPIII SETOR 2
MT,CUIABA,USF DR JOSE EDUARDO FARIA,RUA ORIVALDO DE SOUZA,1,RIBEIRAO DO LIPA
MT,CUIABA,USF SUCURI,ESTRADA VELHA DA GUIA KM 08,S/N,SUCURI
MT,CUIABA,CENTRO DE SAUDE PICO DO AMOR,R CAPITAO IPORA,S/N,PICO DO AMOR
MT,CUIABA,USF CAIC,AV NILTON RABELO DE CASTRO,S/N,PEDRA 90 I CAIC
MT,CUIABA,USF JOAO BORRALHO,RUA PRESIDENTE AFONSO PENA,1840,DISPRAIADO
MT,CUIABA,CONSULTORIO NA RUA NOVO AMANHECER,RUA TELES PIRES,S/N,GRANDE TERCEIRO
MT,CUIABA,CENTRO DE SAUDE JD INDEPENDENCIA,AV SAO SEBASTIAO,1772,JD INDEPENDENCIA
MT,CUIABA,USF JARDIM VITORIA I,AV B,S/N,JD VITORIA
MT,CUIABA,URPICS HORTO FLORESTAL,RUA IVAN RODRIGUES ARRAS,S/N,COXIPO DA PONTE
MT,CUIABA,USF SANTA ISABEL II,AVENIDA AGRICOLA PAES DE BARROS,S/N,SANTA ISABEL
MT,CUIABA,PENITENCIARIA CENTRAL DO ESTADO,BR 364,S/N,PASCOAL RAMOS
MT,CUIABA,CENTRO DE SAUDE PAIAGUAS,AVENIDA A ESQUINA COM A RUA C,S/N,RESIDENCIAL PAIAGUAS
MT,CUIABA,CENTRO DE SAUDE DOM AQUINO,RUA IRMA ELVIRA PARIS,1,DOM AQUINO
MT,CUIABA,USF RESIDENCIAL COXIPO III,AVENIDA BACAI,14,ITAPAJE
MT,CUIABA,UNIDADE AMBULATORIAL SALGADEIRA,RODOVIA EMANUEL PINHEIRO,100,ESTRADA DA CHAPADA
MT,CUIABA,PENITENCIARIA FEMININA ANA MARIA DO COUTO MAY,BR 364,S/N,JARDIM INDUSTRIARIO
MT,CUIABA,CENTRO DE RESSOCIALIZACAO DE CUIABA,AV GONCALO ANTUNES DE BARROS,3245,CARUMBE
MT,CUIABA,USF JARDIM PASSAREDO,AVENIDA FERNANDO CORREIA DA COSTA,1100,SAO FRANCISCO
MT,CUIABA,CENTRO DE SAUDE NOVO TERCEIRO,AV TAPUA,S/N,NOVO TERCEIRO
MT,CUIABA,NUCLEO DE APOIO A SAUDE DA FAMILIA NASF 1,RUA OBIDOS,80,CPA I
MT,CUIABA,CENTRO DE SAUDE ANA POUPINA,AV CARMINDO DE CAMPOS,S/N,DOM AQUINO
MT,CUIABA,USF PEDREGAL,RUA TAIAMA,S/N,PEDREGAL
MT,CUIABA,USF CINTURAO VERDE,AV NILTON RABELO DE CASTRO,S/N,PEDRA 90
MT,CUIABA,USF AGUACU,KM 55 ESTRADA DA GUIA,S/N,AGUACU
MT,CUIABA,USF RIBEIRAO DA PONTE,RUA BOLIVIA,2,RIBEIRAO DA PONTE
MT,CUIABA,USF RIO DOS PEIXES,RODOVIA EMANUAL PINHEIRO,S/N,RIO DOS PEIXES
MT,CUIABA,USF JARDIM ARACA,AV PRINCIPAL,S/N,JD SANTA AMALIA
MT,CUIABA,CENTRO DE CONVIVENCIA IDOSOS AIDEE PEREIRA DO NASCIMENTO,RUA FLAMENGO,S/N,NOVO HORIZONTE
MT,CUIABA,CENTRO DE SAUDE ALVORADA,RUA PIRATININGA,S/N,ALVORADA
MT,CUIABA,USF RESIDENCIAL COXIPO I,AVENIDA B,S/N,RES COXIPO
MT,CUIABA,USF ALTOS DA SERRA I,RUA RUI BARBOSA,34,ALTOS DA SERRA
MT,CUIABA,USF TERRA NOVA,AV SENEGAL,S/N,TERRA NOVA
MT,CUIABA,CENTRO DE SAUDE TIJUCAL,AVENIDA ESPIGAO,S/N,TIJUCAL
MT,CUIABA,USF NOVA ESPERANCA,TRAVESSA J,S/N,NOVA ESPERANCA
MT,CUIABA,USF JARDIM FORTALEZA,RUA F12,S/N,JARDIM FORTALEZA
MT,CUIABA,CENTRO DE SAUDE QUILOMBO,RUA AMERICO SALGADO,S/N,QUILOMBO
MT,CUIABA,USF ALTOS DA SERRA II,AVENIDA RUI BARBOSA,34,ALTOS DA SERRA
MT,CUIABA,USF ROLAND GERALD TRECHAUD E CURVO,RUA UM QD 01,1,OSMAR CABRAL
MT,CUIABA,USF NOVO COLORADO I,AVENIDA TRES CRUZES,S/N,NOVO COLORADO
MT,CUIABA,CLINICA DA FAMILIA CPA I,RUA OBIDOS,292,CPA I
MT,CUIABA,CENTRO DE SAUDE PARQUE CUIABA,RUA D 4,S/N,PARQUE CUIABA
MT,CUIABA,USF SANTA ISABEL I,AVENIDA AGRICOLA PAES DE BARROS,S/N,SANTA ISABEL
MT,CUIABA,USF NOVO PARAISO II,RUA DANTE DE OLIVEIRA,1,NOVO PARAISO
MT,CUIABA,USF 1 DE MARCO,AV PRINCIPAL,S/N,1 DE MARCO
MT,CUIABA,USF NOVO MATO GROSSO,RUA ANDRODINA,S/N,NOVO MATO GROSSO
MT,CUIABA,CENTRO DE CONV PARA IDOSOS PADRE FIRMO DUARTE,AV BEIRA RIO,5100,DOM AQUINO
MT,CUIABA,CIAPS ADAUTO BOTELHO UNIDADE II,BR 364 KM 12,S/N,PASCOAL RAMOS
MT,CUIABA,USF TRES BARRAS,RUA 29,S/N,TRES BARRAS
MT,CUIABA,CENTRO SOCIO EDUCATIVO POMERI,AVENIDA DOS TRABALHADORES,S/N,CARUMBE
MT,CUIABA,USF SANTA TEREZINHA,RUA 38,S/N,SANTA TEREZINHA
MT,CUIABA,USF RESIDENCIAL COXIPO II,AVENIDA PRINCIPAL D,S/N,RES COXIPO
MT,CUIABA,USF NOVO COLORADO II,AVENIDA JOAQUIM LOUZADA,S/N,NOVO COLORADO
MT,CUIABA,AMBULATORIO CENTRAL DA POLICIA MILITAR,RUA PRESIDENTE EPITACIO PESSOA,S/N,MORADA DO SOL
MT,CUIABA,USF NOVO HORIZONTE,RUA BRASILIA,220,NOVO HORIZONTE
MT,CUIABA,USF OURO FINO,AVENIDA BRASIL,1668,OURO FINO
MT,CUIABA,CENTRO DE SAUDE COHAB SAO GONCALO,AV B,S/N,SAO GONCALO
MT,CUIABA,USF LIXEIRA,AV PROF JOAO FELIX,S/N,LIXEIRA
MT,CUIABA,USF JARDIM UMUARAMA ALTOS DA GLORIA,RUA 29,S/N,TRES BARRAS
MT,CUIABA,USF JOAO BOSCO PINHEIRO,AVENIDA PRINCIPAL,S/N,1 DE MARCO
MT,CUIABA,USF PEDRA 90,AV INTEGRACAO III,S/N,PEDRA 90
MT,CUIABA,CENTRO DE SAUDE CIDADE VERDE,RUA SANTA LUZIA,S/N,CIDADE VERDE
MT,CUIABA,CENTRO DE SAUDE DO PLANALTO,RUA MONTE AZUL,18,PLANALTO
MT,CUIABA,USF JARDIM FLORIANOPOLIS,RUA 19 QUADRA 52 LOTE11,11,JD FLORIANOPOLIS
MT,CUIABA,USF SANTA ISABEL III,RUA REREADOR WILSON ALVES DINIZ,2050,SANTA ISABEL
MT,CUIABA,USF JARDIM SANTA AMALIA,AVENIDA PRINCIPAL,S/N,JARDIM SANTA AMALIA
MT,CUIABA,CENTRO DE SAUDE CIDADE ALTA,AV JORNALISTA ALVES DE OLIVEIRA,S/N,CIDADE ALTA
MT,CUIABA,USF RENASCER ADELAIDE ALVES DA SILVA,RUA ROSARIO OESTE,S/N,PEDREGAL
MT,CUIABA,CENTRO DE SAUDE DO JD IMPERIAL,RUA 2300,100,JD IMPERIAL
MT,CUIABA,USF JOCKEY CLUB,RUA BRITNEY SAN,S/N,JARDIM JOCKEY CLUB
